식당(ID),식당명,지점명,지역명,주차가능여부,와이파이제공여부,놀이방유무,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,배달서비스유무,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,스마트오더유무,대표메뉴명,식당상태,해시태그,면적정보내용
10012,명동정,,중구,Y,Y,N,N,Y,,매일 11:30~21:30,Y,"레드테이블,코리아그랜드세일,네이버","http://www.hanjeongik.co.kr/,http://myongdongjeong.modoo.at/",초전섬유ㆍ퀼트박물관,37.5581831,126.9842485,59.03875,N,,NORMAL,"룸,모범음식점,트립어드바이저",
10014,봉추찜닭,명동중앙우체국점,중구,N,N,N,Y,N,,매일 11:00~21:30,Y,"코리아그랜드세일,레드테이블,네이버",http://www.bongchu.com/,H&M (명동1호점),37.5634253,126.982898,29.28563,N,,NORMAL,"모범음식점,씨트립,포장가능",
10015,금계찜닭,명동점,중구,N,N,N,N,N,,,N,,,경성 부민관 폭탄 의거지,37.5675596,126.9765267,88.77277,N,,NORMAL,포장가능,
10016,명동한우방,명동본점,중구,N,Y,N,N,N,,매일 10:30~22:30,Y,"레드테이블,코리아그랜드세일",,눈스퀘어,37.5634253,126.982898,94.97189,N,,NORMAL,"룸,씨트립,포장가능",
10018,삼호복집,,서대문구,Y,N,N,Y,Y,일요일,매일 10:30~22:00,N,레드테이블,http://amhobokzip.modoo.at,이한열박물관,37.5550242,126.9338532,137.13886,N,,NORMAL,"룸,모범음식점,포장가능",
10019,대포찜닭,,서대문구,N,N,N,N,Y,,매일 11:00~22:00,N,네이버,http://www.facebook.com/daepochicken,밀리오레 (신촌점),37.5598056,126.941922,31.65123,N,,NORMAL,"안심식당,포장가능",
10020,카페 종로시장,,종로구,N,Y,N,Y,N,,,N,레드테이블,http://intagram.com/cafe_jongno_ijang,낙원 악기상가,37.5722238,126.987639,45.04859,Y,,NORMAL,"씨트립,포장가능",
10022,크랩회피쉬,장충동본점,중구,Y,Y,N,N,N,,,N,"코리아그랜드세일,레드테이블,네이버",http://0222699968.bdp.kr,동대문역사문화공원역,37.5646558,127.0056069,57.24177,N,,NORMAL,"룸,트립어드바이저",
10024,엔그릴,N서울타워점,용산구,N,N,N,N,Y,,,N,레드테이블,,반공 청년운동 순국 열사 기념비,37.5522311,126.9873512,254.65967,N,,NORMAL,모범음식점,
10026,곰국시집,명동점,중구,N,Y,N,Y,Y,,매일 11:00~21:30,Y,"레드테이블,코리아그랜드세일",http://www.gomkukizib.com/,투쿨포스쿨 (명동점),37.5629195,126.984573,83.25642,N,,NORMAL,"모범음식점,트립어드바이저,포장가능",
10028,왕십리 이모네곱창,,중구,N,Y,N,N,N,일요일,"평일 17:00~23:00, 토요일 17:00~22:00",Y,"레드테이블,코리아그랜드세일,네이버","http://kimo1474.modoo.at,http://www.intagram.com/team_2mone/",을지로3가역,37.5664112,126.9936304,44.01802,N,,NORMAL,포장가능,
10031,놀부보쌈놀부부대찌개,을지로6가점,중구,N,N,N,N,Y,,매일 11:00~24:00,N,"레드테이블,코리아그랜드세일,네이버",http://www.nolboo.co.kr/,누죤패션몰,37.5672125,127.012781,47.97351,N,,NORMAL,"모범음식점,트립어드바이저,포장가능",
10034,853,,종로구,N,N,N,N,N,,매일 10:00~22:00,N,"레드테이블,네이버",,보성사터,37.5739062,126.9811622,51.65099,N,,NORMAL,,
10035,지화자,청운점,종로구,Y,Y,N,N,Y,화요일,"매일 05:30~22:00, 매일 11:30~15:00",N,"레드테이블,네이버","http://www.jihwajafood.co.kr/,http://www.facebook.com/jihwajaeoul",인왕산자락길 종점,37.592396,126.966362,392.99223,N,,NORMAL,"블루리본,씨트립",
10036,반짝반짝빛나는,,종로구,N,N,N,Y,N,연중무휴,매일 12:00~23:00,N,레드테이블,http://bjbjbnn.modoo.at,독립선언문 배부 터,37.5754006,126.9862006,8.52913,N,,NORMAL,"블루리본,포장가능",
10037,연타발,압구정본점,강남구,Y,Y,N,Y,Y,연중무휴,"평일 11:30~22:00, 토요일 11:30~22:00, 일요일 11:30~22:00",N,"레드테이블,네이버",http://yeontabal.modoo.at/,한순례한복침구,37.5265249,127.027692,83.81948,N,"양념왕갈비(주말/공휴일특선_3인분),연타발한우모듬,쿠보타만쥬,한우 꽃등심(150g) 2인분",NORMAL,"모범음식점,트립어드바이저,포장가능",
10038,부엉이돈가스,남산서울타워점,용산구,N,Y,N,N,Y,,"평일 11:30~21:00, 주말 11:30~21:00, 공휴일 11:30~21:00",N,레드테이블,"http://www.owlfnb.co.kr/,http://www.facebook.com/owlcutlet,http://www.intagram.com/owlcutlet,http://blog.naver.com/owlcutlet_blog",해방촌 신흥시장,37.5454213,126.9850088,6.19367,N,,NORMAL,포장가능,
10040,박사네갈비,,종로구,N,N,N,N,Y,,매일 11:30~22:00,N,레드테이블,,쌈지길,37.5743173,126.9848924,29.32861,N,,NORMAL,,
10043,폴인팬케이크,강남점,강남구,N,Y,N,N,Y,,매일 12:00~22:00,N,레드테이블,http://www.intagram.com/paulin_pancake_,강남역푸드트럭존,37.4981603,127.0270168,73.44623,N,,NORMAL,,
10045,양연화로,종로직영점,종로구,Y,Y,N,N,Y,,매일 11:00~03:00,Y,"레드테이블,네이버","http://yangyeon.modoo.at/,http://yangyeon.com",갤러리 M,37.5731259,126.9869478,154.27048,N,,NORMAL,,
10050,오븐에빠진닭,명동점,중구,N,N,N,N,N,,매일 11:30~03:00,Y,레드테이블,http://www.oppadak.co.kr/,세종호텔 세종갤러리,37.5614467,126.987937,68.30795,N,,NORMAL,"트립어드바이저,포장가능",
10051,공룡슈퍼,혜화점,종로구,N,N,N,N,N,,,N,,,대학로,37.5827931,127.0033891,38.28986,N,,NORMAL,,
10053,차돌박힌쭈꾸미,본점,종로구,N,N,N,N,N,,매일 10:30~22:00,Y,"레드테이블,네이버",,낙원동아구찜거리,37.573099,126.9884437,143.80644,Y,,NORMAL,,
10054,옛날집,,마포구,N,Y,N,N,N,,매일 16:00~04:00,N,레드테이블,,홍대땡땡거리 시작점,37.5547935,126.9302516,159.02158,N,,NORMAL,,
10055,한가람,2호점,중구,N,Y,N,N,N,연중무휴,매일 11:30~22:30,Y,"레드테이블,네이버",http://hangaramhanjeongik.modoo.at,아이닥안경,37.5641403,126.983695,40.58166,Y,,NORMAL,"모범음식점,트립어드바이저,포장가능",
10059,삼정집,,강서구,Y,Y,N,N,N,,,N,레드테이블,http://삼정집.kr,발산역,37.5590293,126.8373108,581.99986,N,,NORMAL,포장가능,
10060,경복궁,,종로구,N,Y,N,N,N,,,Y,레드테이블,,H&M (명동1호점),37.5634253,126.982898,123.4966,N,,NORMAL,,
10061,진향족발,,종로구,N,N,N,N,Y,,매일 11:30~24:00,N,레드테이블,,동대문 종합시장·동대문 쇼핑타운,37.5708025,127.006918,108.35222,N,,NORMAL,포장가능,
10064,잘빠진메밀,서촌본점,종로구,N,Y,N,N,N,,,N,"레드테이블,네이버","http://m.marttore.naver.com/jalppajin-mill?NaPm=ct%3Dkji7fu6e%7Cci%3Dcheckout%7Ctr%3Dd%7Ctrx%3D%7Chk%3Decccdeb92f8d1e9d7770962614a3329d7273f77d,http://www.intagram.com/jalppajin_eochon,http://www.facebook.com/jalppajinmemil,http://jalppajin.modoo.at",한복남,37.5762891,126.9733212,136.50183,Y,,NORMAL,포장가능,
10065,연타발,선릉점,강남구,Y,Y,N,N,Y,,매일 11:00~22:00,N,네이버,http://yeontabal.modoo.at/,삼성(무역센터)역,37.5074134,127.058047,164.74928,N,"연타발갈비김치찌개(2인),특양구이(170g),티본선물포장(1kg)",NORMAL,포장가능,
10070,육대장,명동점,중구,N,N,N,N,N,,매일 00:00~24:00,Y,"코리아그랜드세일,레드테이블",,H&M (명동1호점),37.5634253,126.982898,34.27078,N,,NORMAL,포장가능,
10071,순미네 행복게장,동대문점,중구,Y,Y,N,N,Y,,"평일 10:30~23:00, 공휴일 10:30~22:30",Y,"레드테이블,코리아그랜드세일","http://ddlerie.co.kr/220927511390,http://ddlerie.co.kr/220927511390,http://cafe.naver.com/themukja/422331",동대문디자인플라자(DDP),37.5675991,127.0099487,39.50373,N,,NORMAL,포장가능,
10076,금성관나주곰탕,,중구,N,Y,N,N,Y,,,Y,"코리아그랜드세일,레드테이블",,남대문 본동의류상가,37.5598271,126.976631,66.50065,N,,NORMAL,"룸,포장가능",
10078,하남돼지집,압구정로데오점,강남구,N,N,N,N,Y,연중무휴,매일 17:00~01:00,N,레드테이블,"http://www.hanampig.co.kr/,http://www.facebook.com/hnpig,http://www.intagram.com/hanampig/",갤러리 인데코,37.5279486,127.0313117,146.30448,N,,NORMAL,포장가능,
10080,미쓰족발,,중구,N,N,N,N,N,,매일 17:00~23:00,Y,"레드테이블,코리아그랜드세일",http://mythjokbal.co.kr/,에뛰드하우스 (명동1호점),37.5621623,126.985106,62.83858,N,,NORMAL,포장가능,
10083,유아히어카페,명동본점,중구,N,N,N,N,N,,매일 07:30~23:30,Y,"레드테이블,코리아그랜드세일",http://intagram.com/youareheremyungdong,명동재미로 시작점,37.5607567,126.9853616,50.96598,N,,NORMAL,포장가능,
10084,잘빠진메밀,익선점,종로구,N,Y,N,N,N,,,N,"레드테이블,네이버","http://http://m.marttore.naver.com/jalppajin-mill?NaPm=ct%3Dkji7fu6e%7Cci%3Dcheckout%7Ctr%3Dd%7Ctrx%3D%7Chk%3Decccdeb92f8d1e9d7770962614a3329d7273f77d,http://www.intagram.com/jalppajin_ikeon,http://jalppajin.modoo.at/,http://www.facebook.com/jalppa",미보 주얼리,37.5714899,126.998659,65.08976,Y,,NORMAL,"트립어드바이저,포장가능",
10085,연타발,서울역점,중구,Y,Y,N,N,Y,,"평일 11:30~22:00, 토요일 11:30~22:00",Y,"네이버 , 레드테이블",http://yeontabal.modoo.at/,남대문 문구상가,37.5603735,126.976511,169.72819,N,"양념왕갈비,특양구이,한우꽃등심,한우살치살",NORMAL,포장가능,
10086,일번지곱창,명동점,중구,N,N,N,N,N,일요일,"평일 17:00~00:00, 토요일 17:00~00:00",Y,"레드테이블,코리아그랜드세일",,시청역,37.5656226,126.97695,76.95216,N,,NORMAL,,
